project_id,project_name,country,archetype,outlier_score,ext_terms,crypto_terms,cluster_id,what_is_actually_built,neighborhood_sparsity,local_density,raw_bridge_score,norm_sparsity,archetype_freq,archetype_uniqueness,cross_domain_vocab,norm_cross_domain,cluster_size,final_outlier_score,commodity_score
2605_Face emotion recognition,Face emotion recognition,Unknown,EMOTION_DETECTION_SYSTEM,0.912,1,0,-1,"A model designed to be lightweight and efficient for face-emotion detection, built using Python and machine learning.",0.4757973933644336,49,0.4,1.0,1,1.0,1.0,0.2,728,1.0,0.0006148816043110466
1218_StarkFi,StarkFi,Unknown,EMBEDDED_FINANCE_API,0.956,0,1,-1,"The project has real contracts, 40 partners testing the API, and six large firms sending season makers. It includes a shared KYC system and soulbound tokens.",0.32674465469926445,186,0.8,0.6867306531227604,1,1.0,0.0,0.0,728,0.9311884563507643,0.0031492705285201777
0919_Sinergy,Sinergy,Unknown,CROSS_BORDER_PAYMENT_ORCHESTRATOR,0.895,0,0,-1,"A platform that allows companies to register beneficiaries, upload payment batches, review quotes with fees, approve payouts, fund payments using USDC on Solana, and execute local fiat payments to workers in countries like Colombia and Mexico. It includes features for approvals, reconciliation, traceability, audit logs, and exception handling.",0.3892948903308932,159,0.6,0.8181946680668668,1,1.0,0.0,0.0,728,0.9257980562285002,0.002347964674325341
1148_Casi,Casi,Unknown,LIVE_STREAM_INTERACTION_OVERLAY,0.821,0,1,26,"A Next.js web application is built, live on devnet at casi.gg. It includes a payment rail for Stripe and a Solana payment rail with a smart contract. The free side and Stripe side are described as 'good to go'. The Solana program (Anchor) is built as a time-vested USDC escrow.",0.42476025928342526,136,0.8,0.8927334727075379,1,1.0,0.0,0.0,80,0.9203120510076251,0.0018725916612445045
1854_Fractionax An Agentic RWA Investment Infrastructure,Fractionax An Agentic RWA Investment Infrastructure,Unknown,AI_AGENT_RWA_INVESTMENT_MANAGER,0.932,0,0,-1,"A system that allows users to input investment goals for RWAs, which then uses agents to source deals, assess rates, execute transactions on-chain, and manage the portfolio continuously.",0.3225298440893473,176,0.8,0.6778722384515207,1,1.0,0.0,0.0,728,0.915884359845814,0.0030096804907980726
2531_VeraNexus,VeraNexus,Unknown,AI_RWA_BROKERAGE_AGENT,0.943,0,0,-1,"The project combines on-chain accredited investor credentials (SSAS), an AI agent with autonomous on-chain payment capability, and functionalities for RWA trading lifecycle including price aggregation, subscription/redemption, and portfolio management. It also generates AI-generated investment reports.",0.31278987280438686,182,0.8,0.6574014006100443,1,1.0,0.0,0.0,728,0.9156871474041757,0.0031857190221965077
2340_OpenTrade — The World's Stock Market on Solana,OpenTrade — The World's Stock Market on Solana,Unknown,TOKENIZED_SECURITIES_BROKERAGE,0.854,0,0,3,A mobile application that facilitates the purchase of US stocks using USDC on Solana. The mechanism for representing and transferring 'real US stocks' on Solana is unclear.,0.4145080838753527,97,0.4,0.8711861175705584,1,1.0,0.0,0.0,108,0.9079216008850417,0.0013622118259635624
0547_Lowkie,Lowkie,Unknown,INSTITUTIONAL_SETTLEMENT_INFRASTRUCTURE,0.934,1,0,-1,"An execution architecture and a policy engine have been built. This system performs four pre-chain checks (allow lists, amount threshold, sanctions screening, jurisdiction). It executes a fragmented time settlement flow on Solana and produces a 'finance grid' with a 'constellation record' and selected disclosure post-execution.",0.3164632352125127,230,0.2,0.6651218346842013,1,1.0,1.0,0.2,728,0.9014351583620064,0.003990398625544504
1841_SolanaCreds,SolanaCreds,Unknown,ONCHAIN_CREDENTIAL_PLATFORM,0.891,0,1,-1,"A user interface for browsing a marketplace, creating a new token (credential), and viewing certifications is demonstrated. The process of issuing a credential and the concept of selling access to a course are shown.",0.3147430013120146,163,1.0,0.6615063590122265,1,1.0,0.0,0.0,728,0.9011366295308756,0.002839707791051308
1240_VAULTLESS,VAULTLESS,Unknown,BEHAVIORAL_BIOMETRIC_AUTHENTICATION_SYSTEM,0.893,0,1,-1,"A behavioral biometric authentication system prototype that captures keystroke timing, flight time, mouse velocity, acceleration, and interaction rhythm. A real-time comparison system using Z-score normalization and cosine similarity for authentication. A ""Ghost Wallet"" protocol that redirects attackers to a simulated dashboard and sends alert emails. A biometric lab for visual data comparison. A mobile application capturing stress, code duration patterns, and gyroscopy motion data. A platform-agnostic SDK called ""waterless code."" A live web app, a mobile app, and a standalone SDK.",0.3297318889862492,145,0.8,0.6930090277600437,1,1.0,0.0,0.0,728,0.8996969154986016,0.0024380102912520854
0852_Agora,Agora,Unknown,VERIFIABLE_AI_DELIBERATION_ENGINE,0.94,3,0,-1,"The project has built deliberation engines, a functional debate system, an ISD weighted voting engine, a pump sensor and selector for real-time mechanism learning, and tool-calling functionality for agents (web search, file analysis, code execution in a sandbox). A front-end visualizes agent activity, tool calls, entropy metrics, and consensus forms. A benchmark dashboard with a heatmap and analytics is also built. Declarations are set up in Google's library, and Solana contracts are deployed.",0.1727750871884195,257,0.8,0.36312743532851527,1,1.0,3.0,0.6,728,0.8981442366323243,0.006807592243650277
1806_Vault1177,Vault1177,Unknown,SUPPLY_CHAIN_FINANCE_PLATFORM,0.904,1,1,-1,"A payment platform user interface was built, allowing users to log in as a contractor, connect a Phantom wallet, view existing invoices and claims, create new invoices, generate payment requests, and process USDC transfers on the Solana testnet, with transactions verifiable on the Solana explorer.",0.2959452067111357,215,0.8,0.6219983775414646,1,1.0,0.5,0.1,728,0.8964012163515593,0.0039234532745506725
1449_ValyCare,ValyCare,Unknown,VERIFIABLE_CHECK_IN_SYSTEM,0.966,0,1,0,"A working Android mobile application that demonstrates the full flow of adding a contact, sending and accepting pair requests, setting daily reminders, receiving push notifications, confirming reminders with a tap, and viewing on-chain transaction links for confirmations. It includes embedded wallet creation and Phantom wallet integration.",0.27736796119424667,19,0.6,0.5829539317837302,1,1.0,0.0,0.0,18,0.8942127033700994,0.00036379245715196265
0078_POOL,POOL,Unknown,SHARED_FINANCIAL_POOL_MANAGER,0.903,0,0,-1,"A system that allows users to join a shared pool, contribute funds, and potentially spend from it using a crypto card. The team indicates they are ready to demonstrate its functionality.",0.32352130845546856,136,0.6,0.6799560337390704,1,1.0,0.0,0.0,728,0.8893920607182122,0.0023202178168326305
0352_Rydex,Rydex,Unknown,DECENTRALIZED_REPUTATION_SYSTEM,0.933,0,2,-1,"A mobile application (Rydex app) with a login screen and phone number signup, which creates an invisible wallet for users. The system integrates with ride-sharing platforms to fetch data, generates 'zick-proofs', and creates an on-chain anchor storing trust scores, verified badges, and a profile. The project currently has 61 beta users.",0.31578881590577595,66,0.4,0.6637043840715197,1,1.0,0.0,0.0,728,0.8887301223164156,0.0011469282420740743
0589_UNITY- Unspoken Voice Bot,UNITY- Unspoken Voice Bot,Unknown,SIGN_LANGUAGE_TRANSLATION_SYSTEM,0.891,0,0,-1,"A working prototype with gesture recognition and speech synthesis modules has been built, and three core modules have been delivered.",0.3289802420299261,37,0.6,0.6914292650988654,1,1.0,0.0,0.0,728,0.8864150003230437,0.0006232030194917172
2443_Jence,Jence,Unknown,DEVELOPER_COLLABORATION_PLATFORM,0.928,1,0,-1,"A platform that allows hardware engineers to share projects and collaborate, with features for crowdfunding.",0.23422699297559313,196,0.8,0.49228305207672424,1,1.0,1.0,0.2,728,0.8827266733527528,0.004237206837640382
0180_Shypt,Shypt,Unknown,PRIVACY_PRESERVING_ECOMMERCE_PLATFORM,0.933,1,0,-1,"A system that encrypts shipping addresses client-side using X25519 NaCl box and AES-256-GCM, wrapping them to the public key of the fulfillment partner. It supports burn-to-claim mechanisms and direct SOL/USDC/SPL sales.",0.2667364102183658,160,0.4,0.5606092297652857,1,1.0,1.0,0.2,728,0.8819406249309989,0.0031523255918540906
1925_UVT Localyze,UVT Localyze,Unknown,CITIZEN_REPORTING_SYSTEM,0.908,0,0,-1,unclear from transcript,0.29922191338158266,103,0.6,0.6288851463975882,1,1.0,0.0,0.0,728,0.8770240905449164,0.0018641805294011284
2698_Seeker Vault,Seeker Vault,Unknown,SECURE_DATA_VAULT,0.922,0,1,-1,"A local-first encrypted storage system where every byte is encrypted locally using AES256, utilizing a Mobile Wallet Adapter to generate a cryptographic seal.",0.2859605147019207,179,0.6,0.6010132016063637,1,1.0,0.0,0.0,728,0.876238594075248,0.0033510064889622237
1376_Signal402,Signal402,Unknown,AI_PREDICTION_SIGNAL_PROVIDER,0.957,0,0,-1,"A Telegram bot is live. A mechanism to commit predictions on-chain before an event starts is implemented. A payment system for signals is in place, allowing users to pay per signal or subscribe monthly. Distribution is handled via X (Twitter) Blinks.",0.2137776701005884,190,1.0,0.44930399594864306,1,1.0,0.0,0.0,728,0.8736782678588437,0.004375187622792666
0633_Astaria,Astaria,Unknown,PERPETUAL_FUTURES_EXCHANGE_FOR_PREDICTION_MARKETS,0.843,0,2,-1,"Astarya handles the order books, the perpetuals engine, and the risk engine. It integrates with Redstone for price indexing and with Privy for social login. It is also working with m0 (Moonpay) for unified stablecoin and fiat deposits.",0.3290213086643296,155,0.8,0.691515576278742,1,1.0,0.0,0.0,728,0.8727997343246536,0.002610465449901892
0637_Plumb,Plumb,Unknown,ACCESSIBILITY_ASSISTANT,0.891,0,0,-1,"A web-based demo where users can upload a screenshot of a web page, which is then analyzed by AI to generate a 'zone map', haptic feedback, and voice descriptions of elements. An SDK for integration is also mentioned.",0.304376399989437,38,0.6,0.6397185109341321,1,1.0,0.0,0.0,728,0.8712131088117744,0.0006789892677063626
0774_Vehicle Accident Detection,Vehicle Accident Detection,Unknown,REALTIME_ACCIDENT_DETECTION_SYSTEM,0.958,0,0,-1,A vehicle accident detection system that can identify accidents in real time and send immediate alerts.,0.28314968018541564,45,0.2,0.5951055725278831,1,1.0,0.0,0.0,728,0.8700333879726843,0.000848611985132793
1441_Tasko,Tasko,Unknown,AI_AGENT_WORK_MARKETPLACE,0.925,0,0,-1,An MVP is live on the website with the entire escrow flow implemented on the Solana devnet.,0.29189271333847144,203,0.4,0.6134811106770782,1,1.0,0.0,0.0,728,0.8697322173909566,0.0037427771046406808
1734_Covenant,Covenant,Unknown,AI_AGENT_SETTLEMENT_PROTOCOL,0.874,1,0,-1,"A Volatile SDK for agent integration, an HTTP API (X402 and AIP compatible) for existing agent stacks, and an Anchor program on Solana are built. The system is live on DevNet, running with 226 positive and 59 community agents, handling real on-chain transactions. A settlement page exists, displaying live escrows, challenge windows with countdowns, and on-chain settlement statuses. A mechanism for agents to sell pending escrow claims to a permissionless buyer pool for instant payment is implemented.",0.2570102335698007,193,0.8,0.5401673845929322,1,1.0,1.0,0.2,728,0.8682288877566239,0.003906085619178318
1715_CYKLOS,CYKLOS,Unknown,VERIFIABLE_PROOF_INFRASTRUCTURE,0.923,0,1,-1,"The CASAMBAR application for requesting dumpster services and managing a supplier marketplace is built. An operational record creation and tracking system is implemented. The SIGCLOS dashboard consolidates operational data into a compliance-ready record, connecting verified events, CTR hashes, supplier performance, and NFT CTR references. NFT CTRs, which are digital certificates for construction waste traceability, are generated. The Solana proof anchoring is simulated in the current MVP, designed to be ready for DevNet.",0.2515889751040992,203,0.8,0.5287733363251035,1,1.0,0.0,0.0,728,0.867289903670362,0.0041718232903192164
2054_Groupshop,Groupshop,Unknown,GROUP_BUYING_PLATFORM,0.865,0,1,26,"A web platform for browsing products imported from Kogita, a purchase flow integrated with Phantom wallet for on-chain payments, an on-chain escrow system for pooling funds, and a refund mechanism for unfulfilled orders or user withdrawals.",0.3375769400321747,127,0.4,0.7094972455505028,1,1.0,0.0,0.0,80,0.8662092090635296,0.002097077152827444
1420_flexus,flexus,Unknown,PRIVACY_ENHANCING_FINANCIAL_BOT,0.953,0,0,-1,An AI financial bot on Telegram that allows users to buy USD (or crypto) and send money. Bill payment functionality is mentioned but not explicitly confirmed as built.,0.2750136455906141,199,0.2,0.5780057844494523,1,1.0,0.0,0.0,728,0.8623605904425717,0.003834167843170958
0678_Riptide,Riptide,Unknown,PROTOCOL_SIMULATION_FRAMEWORK,0.909,0,1,-1,"An open-source simulation framework with a command-line interface (CLI) and a Studio graphical user interface. It includes example projects, documentation, and reproducible case studies. The system allows for defining personas, scenarios, invariants, and campaign inputs, running local simulations, and generating detailed reports. An agent assistant is integrated into the Studio to help configure simulation workflows.",0.23531895444071443,215,1.0,0.4945780656273448,1,1.0,0.0,0.0,728,0.8615880954925166,0.0046328204750743
2183_Twoonie,Twoonie,Unknown,MICRO_INVESTMENT_PLATFORM,0.872,0,1,-1,"The core technology is working, including a tested Solana program for transactions and a functional yield integration.",0.304614578413494,167,0.6,0.6402190988469258,1,1.0,0.0,0.0,728,0.8613061791059871,0.002982222615719745
2845_Universal High Income - $INCOME - EL2,Universal High Income - $INCOME - EL2,Unknown,ECOSYSTEM_REWARD_INFRASTRUCTURE,0.937,0,0,-1,unclear,0.2662759683464161,167,0.4,0.5596415030009715,1,1.0,0.0,0.0,728,0.8602544399697116,0.003294375964227626
2219_VolumeForge,VolumeForge,Unknown,ONCHAIN_INCENTIVE_PLATFORM,0.95,0,1,-1,"A full-stack dashboard for Solana protocols that integrates with Anchor IDL or custom events to define and manage on-chain incentive campaigns, featuring live leaderboards, rebate mechanisms, and weighted raffles, with reward evaluation and distribution handled by 'Torque'.",0.19587368098403213,198,1.0,0.4116745566825838,1,1.0,0.0,0.0,728,0.8589118522702797,0.0048353060750267515
1484_AURA Protocol,AURA Protocol,Unknown,DECENTRALIZED_CREATOR_PROTOCOL,0.928,0,1,-1,"The project describes a protocol with five core mechanics: creator coin minting, a 'security mining' mechanism for content discovery, portable social graphs, a token for seamless experience, and permanent storage on Arweave. It also features an open front-end idea where users can build their own interfaces. The evidence describes these functionalities as part of the protocol.",0.2132323460808808,194,1.0,0.4481578694096733,1,1.0,0.0,0.0,728,0.8579956107154495,0.004475074207233273
0660_Yatra,Yatra,Unknown,ONCHAIN_RIDE_HAILING_PLATFORM,0.933,0,0,-1,"A mobile application for passengers and drivers that facilitates ride requests, acceptance, real-time tracking, boarding confirmation, trip completion, and a passenger rating system that impacts a driver's on-chain reputation score. It includes profiles for drivers and passengers to view history and performance.",0.2639508069755091,70,0.4,0.5547546301358945,1,1.0,0.0,0.0,728,0.8567011494990282,0.0013896981138437452
0702_AuraSci,AuraSci,Unknown,DECENTRALIZED_RESEARCH_FUNDING_PLATFORM,0.928,0,1,-1,"A system for scientists to onboard and launch their scientific intent, which involves defining a core hypothesis, milestones, budgeting needs, and a timeline. This intent undergoes AI verification and is then listed in an 'intent market' where patrons can make donations.",0.21017501247498055,185,1.2,0.44173216458543835,1,1.0,0.0,0.0,728,0.8561065864844304,0.004309531254663881
0308_City Server- Civic issue reporter,City Server- Civic issue reporter,Unknown,ISSUE_REPORTING_PLATFORM,0.9,0,0,-1,unclear from transcript,0.3091302865225837,98,0.2,0.6497099203017439,1,1.0,0.0,0.0,728,0.8553944967961381,0.001730730951254075
2849_Pockethash,Pockethash,Unknown,MOBILE_POW_MINING_PROTOCOL,0.925,2,1,-1,A custom energy-efficient browser miner and an on-chain Seeker Genesis Token (SGT) hardware gate are built.,0.23048262341731646,196,0.4,0.48441337979500015,1,1.0,1.0,0.2,728,0.8553073200244004,0.004285214409508836
2799_Brain Controlled Human-Computer Interaction,Brain Controlled Human-Computer Interaction,Unknown,NEURO_CONTROL_SYSTEM,0.891,0,0,-1,An early-stage prototype of a Brain Controlled Human-Computer Interaction system that processes brain signals and uses intelligent algorithms.,0.29578312223824915,39,0.4,0.6216577189436097,1,1.0,0.0,0.0,728,0.8541444376010141,0.0007119876352588826
2853_Cribble.ph,Cribble.ph,Unknown,AI_SEARCH_ENGINE,0.906,2,0,-1,"The project claims to offer an AI Search Engine, development tools (CribTools), AI agent creation (CribAI Agents), educational resources (CribEdu), an app and game publishing platform (CribStore), and an email service (CribMail). The extent of actual implementation and functionality for these features is unclear without further evidence.",0.18616190221153686,239,0.6,0.39126297202924665,1,1.0,2.0,0.4,728,0.8531464522663589,0.006034637700466179
2681_SOL-BBQ,SOL-BBQ,Unknown,SOLANA_ACCOUNT_CLEANUP_UTILITY,0.913,1,1,-1,A system that enables Solana users to burn dust tokens and close empty accounts to reclaim locked SOL rent.,0.25533297819477796,146,0.4,0.5366422383890773,1,1.0,0.5,0.1,728,0.8525523983975415,0.0029688103444781896
0199_shingo,shingo,Unknown,TRADING_SIGNAL_VERIFICATION_PLATFORM,0.957,0,1,-1,"An audited smart contract exists, and a Minimum Viable Product (MVP) has been developed.",0.1948316782727122,192,0.8,0.40948454318975697,1,1.0,0.0,0.0,728,0.850213000702539,0.004705352877284979
0666_Mardobe,Mardobe,Unknown,DIGITAL_FASHION_ATTRIBUTION_PLATFORM,0.928,0,0,-1,unclear,0.20054444523958975,202,1.0,0.4214912650561416,1,1.0,0.0,0.0,728,0.850156180931368,0.004856325393816521
0731_Seedling,Seedling,Unknown,YIELD_BEARING_ALLOWANCE_PLATFORM,0.942,0,2,0,A Solana program built in Quasar (Pinocchio framework) with 12 instructions is implemented. It includes an embedded wallet with Google login for parents and a wallet-free public PDA view for kids. On-chain family position accounts are created lazily upon the first deposit. The system integrates with Kamino for yield generation and uses keeper bots for automated monthly allowances and year-end bonuses. A sandboxed relay pays gas for initial setup.,0.22416985032480072,19,0.6,0.47114560409770767,1,1.0,0.0,0.0,18,0.8486434631049233,0.0004234928625093625
1217_SplotSOL,SplotSOL,Unknown,PAYMENT_SPLITTING_APP,0.903,0,1,-1,"A simple web app that allows users to generate a shareable payment link, which can be sent to friends to receive instant payments in SOL via Phantom wallet integration.",0.27607584158010456,171,0.4,0.5802382388603089,1,1.0,0.0,0.0,728,0.8483179206433175,0.0032853813621430378
1492_Agent Settlement Protocol (ASP),Agent Settlement Protocol (ASP),Unknown,ATOMIC_SETTLEMENT_PROTOCOL,0.91,0,0,-1,"A working prototype is live on Solana DevNet, demonstrating locking, validating, and reverting trades, with 33 of 33 tests passing and verified on-chain.",0.24863569379036693,189,0.6,0.522566321837594,1,1.0,0.0,0.0,728,0.8468268820077592,0.003917013516644469
0478_Atlas Protocol  zk-Verified Capital Allocation,Atlas Protocol  zk-Verified Capital Allocation,Unknown,ZK_VERIFIED_TREASURY_MANAGEMENT,0.874,1,1,-1,"A system that has verified 248 proofs in the last 24 hours and manages $13 million. It includes a decision engine with six sensor agents, three decider agents, and one executor. The system generates and verifies ZK proofs for rebalance plans, mints receipts on Solana Devnet, and offers 12 vault templates across four strategies and three risk bands. It integrates with 27 audited Solana native partners and provides a public verifier program ID on Solana Devnet for browser-based verification. The codebase consists of 43,000 lines of Rust.",0.2786332175840523,153,0.4,0.5856131653303009,1,1.0,0.5,0.1,728,0.8463114902781927,0.00291969733519767
1135_Kurtosis Labs,Kurtosis Labs,Unknown,RWA_INVESTMENT_PROTOCOL,0.875,0,1,-1,A platform that allows users to connect their Solana wallet and deposit funds into one of two operational investment bots: a multi-asset strategy bot and a fixed-income strategy bot. The platform displays the allocation of asset classes within the user's portfolio. These strategies have accumulated Total Value Locked (TBL).,0.29596475104082376,172,0.4,0.6220394545418025,1,1.0,0.0,0.0,728,0.8457900560153464,0.0031386076942051563
1095_Siren,Siren,Unknown,TRADING_INTELLIGENCE_PLATFORM,0.788,0,0,4,A platform or tool that integrates with prediction markets like Kalshi and Polymarket to provide execution and risk intelligence.,0.3674143765771233,100,0.4,0.7722076280811082,1,1.0,0.0,0.0,139,0.8438992321499024,0.001545834688298926
1052_ShareApp,ShareApp,Unknown,GROUP_PAYMENT_PLATFORM,0.903,0,1,-1,"A social FinTech platform leveraging Google Cloud infrastructure and blockchain technology on Solana mainnet, which has been tested.",0.2869406301063774,148,0.2,0.6030731443847933,1,1.0,0.0,0.0,728,0.8432717381187657,0.002763646526981054
