project_id,project_name,country,archetype,outlier_score,ext_terms,crypto_terms,cluster_id,what_is_actually_built,neighborhood_sparsity,local_density,raw_bridge_score,norm_sparsity,archetype_freq,archetype_uniqueness,cross_domain_vocab,norm_cross_domain,cluster_size,final_outlier_score,commodity_score
2364_AIrth,AIrth,Unknown,AI_OPTIMIZATION_PLATFORM,0.712,5,0,3,"The platform uses IOT sensors to gather real-time energy data from buildings, which is then passed to an IOT core for secure device management. This data goes to an AI engine where machine learning algorithms forecast energy demand and identify electricity system abnormalities. An interactive, user-friendly dashboard is built using Firebase and Chart.js to display energy usage and carbon footprint.",0.15778504920075803,228,1.0,0.33162234892679143,1,1.0,5.0,1.0,108,0.8270291477324762,0.006390608839989054
1765_HealthGuard,HealthGuard,Unknown,DECENTRALIZED_HEALTH_DATA_MANAGEMENT,0.0,3,0,6,"A decentralized digital platform for managing, accessing, and sharing medical records and insurance claims.",0.052313533124459674,82,0.2,0.10994917974338396,1,1.0,3.0,0.6,28,0.2910245707147765,0.0038899182540552066
0852_Agora,Agora,Unknown,VERIFIABLE_AI_DELIBERATION_ENGINE,0.94,3,0,-1,"The project has built deliberation engines, a functional debate system, an ISD weighted voting engine, a pump sensor and selector for real-time mechanism learning, and tool-calling functionality for agents (web search, file analysis, code execution in a sandbox). A front-end visualizes agent activity, tool calls, entropy metrics, and consensus forms. A benchmark dashboard with a heatmap and analytics is also built. Declarations are set up in Google's library, and Solana contracts are deployed.",0.1727750871884195,257,0.8,0.36312743532851527,1,1.0,3.0,0.6,728,0.8981442366323243,0.006807592243650277
0548_PANORA,PANORA,Unknown,TOKENIZED_AGRICULTURAL_INVESTMENT_PLATFORM,0.0,3,0,3,"An investment ecosystem user app with a commodity marketplace and secondary market, field-agent apps with IoT sensor integration, and a supply chain system for real-time distribution, tracking, and inventory management. An MVP (referred to as 'MBP-pass 1') has been successfully deployed.",0.06580557868721967,112,0.2,0.13830588314471148,1,1.0,3.0,0.6,108,0.2993608546403784,0.0048807211819080695
0783_AXOMED – Smart Patient Monitoring System,AXOMED – Smart Patient Monitoring System,Unknown,REAL_TIME_MONITORING_AND_ALERTING_SYSTEM,0.539,3,0,6,"A prototype system that collects user health data via IoT sensors, sends it to a back-end system for processing using a machine learning model, and displays the results on a live dashboard. Sensor integration and real-time data display flows are currently being improved and tested.",0.18807045085526192,46,0.2,0.39527423537440587,1,1.0,3.0,0.6,28,0.6601229525442162,0.0011537832613153442
0185_LuminaCare,LuminaCare,Unknown,PATIENT_HEALTH_RECORD_MANAGER,0.0,2,0,6,"A mobile interface for patients to add medical records, generate temporary QR codes for sharing, and revoke access. A browser-based interface for doctors to view shared records. Integration with Solana for record attestation, grant issuance, and revocation.",0.045815686716603826,83,0.2,0.09629242899511144,1,1.0,2.0,0.4,28,0.26349142432829004,0.004112812962142123
0111_Terrova,Terrova,Unknown,DECENTRALIZED_AGRICULTURAL_CLAIM_VERIFIER,0.925,2,0,-1,"A system that allows uploading of zero-tag images of crop damage, verifies claims, and stores the results transparently on-chain. An MVP is available.",0.11487836706758152,218,0.6,0.2414438764686364,1,1.0,2.0,0.4,728,0.8191568310408737,0.007330420926140618
2056_NextQ,NextQ,Unknown,INCENTIVIZED_EDUCATIONAL_CONTENT_PLATFORM,0.0,2,0,10,"The platform is intended to allow students to generate AI-powered quizzes and study papers, upload academic work, and participate in a decentralized learning environment where contributions have measurable value.",0.05966993527941318,89,0.4,0.1254103870924518,1,1.0,2.0,0.4,37,0.283810673533764,0.004027466828452883
0131_April Gate,April Gate,Unknown,ONCHAIN_VERIFICATION_LAYER,0.711,2,0,-1,"The project has an anchor program live on Solana DevNet, a five-sensor simulated cluster for aggregated consensus, an on-chain hardware identity schema, a public website, and an EQS wide page. A hardware prototype is underway, with one sensor set assembled during the hackathon.",0.13174368494553618,233,0.4,0.27689030411444066,4,0.25,2.0,0.4,728,0.5722866604287512,0.029058495078149185
0462_CourtStep AI,CourtStep AI,Unknown,SPORTS_PERFORMANCE_MONITORING_PLATFORM,0.644,2,0,-1,"The project has built its own hardware stack, including custom ESG32-based electronics and a pressure-sensor array designed to capture foot-level biomechanics. This is described as a working sensing system, not a mock-up. AI modules are built to process raw sensor signals into activity representation and risk insights, identifying responses for movements like walking, stairs, squatting, sitting, and balance.",0.1820539645031328,206,0.8,0.3826291758679095,1,1.0,2.0,0.4,728,0.7237268273365208,0.005277158356183602
